user_id,item_id,rating
2,120,4.0
7,116,4.0
10,148,5.0
12,142,3.0
18,184,4.0
12,131,5.0
12,152,3.0
17,179,5.0
16,141,5.0
7,127,4.0
14,152,4.0
20,149,5.0
20,172,5.0
17,158,4.0
2,119,3.0
16,161,5.0
9,138,5.0
6,110,4.0
11,141,5.0
9,128,4.0
15,193,1.0
10,140,4.0
1,109,3.0
8,155,4.0
14,136,4.0
10,139,5.0
7,110,5.0
8,122,4.0
13,152,4.0
4,117,5.0
17,161,3.0
13,135,4.0
19,154,5.0
14,142,4.0
18,194,4.0
16,152,3.0
3,116,4.0
8,143,5.0
6,103,5.0
16,178,5.0
17,154,4.0
5,120,3.0
2,129,5.0
10,122,4.0
15,149,3.0
3,105,2.0
11,131,3.0
4,129,2.0
18,167,4.0
2,122,4.0
5,102,5.0
7,125,3.0
16,181,5.0
20,178,3.0
8,128,1.0
4,116,4.0
2,109,4.0
20,173,4.0
7,101,3.0
2,101,5.0
8,125,4.0
19,161,4.0
17,180,5.0
10,147,4.0
14,135,4.0
5,112,5.0
5,122,3.0
10,141,4.0
14,151,4.0
13,144,4.0
7,106,5.0
14,150,4.0
19,180,3.0
17,192,5.0
14,147,4.0
7,117,5.0
15,176,5.0
16,172,5.0
3,102,4.0
17,172,5.0
5,125,3.0
17,181,4.0
15,147,5.0
2,134,3.0
20,183,4.0
15,181,4.0
4,128,5.0
2,116,4.0
20,194,5.0
8,149,3.0
2,115,4.0
8,152,3.0
6,125,3.0
1,113,4.0
11,123,4.0
4,122,5.0
1,116,4.0
5,109,4.0
19,174,3.0
1,122,5.0
16,154,5.0
2,114,3.0
11,143,5.0
17,184,3.0
19,147,4.0
16,194,5.0
2,118,3.0
6,107,4.0
5,105,2.0
20,152,3.0
16,184,5.0
4,105,4.0
9,143,3.0
3,119,4.0
11,144,4.0
20,168,4.0
10,143,4.0
13,142,4.0
8,160,5.0
9,126,5.0
9,148,5.0
4,127,4.0
14,125,5.0
1,102,3.0
1,110,4.0
3,110,5.0
14,148,4.0
14,141,3.0
2,104,3.0
17,186,5.0
19,163,1.0
13,153,3.0
5,133,5.0
4,104,4.0
4,130,4.0
15,161,5.0
19,155,5.0
6,113,5.0
15,186,5.0
9,137,4.0
2,130,5.0
6,120,3.0
11,137,5.0
18,155,4.0
12,157,5.0
20,161,3.0
14,145,4.0
1,127,3.0
14,121,4.0
6,111,5.0
15,155,4.0
14,131,3.0
9,151,5.0
9,125,3.0
16,156,2.0
13,126,5.0
3,117,3.0
8,147,3.0
14,126,4.0
13,137,5.0
12,123,3.0
12,140,4.0
8,123,4.0
20,165,5.0
2,108,5.0
18,185,3.0
15,179,5.0
3,128,5.0
11,126,3.0
18,152,5.0
1,108,4.0
8,126,4.0
6,102,5.0
16,149,5.0
17,163,4.0
13,143,3.0
2,103,5.0
15,180,4.0
15,191,5.0
12,145,3.0
13,131,5.0
2,102,5.0
8,148,4.0
15,183,3.0
8,136,5.0
12,137,4.0
8,141,3.0
15,175,5.0
15,178,4.0
10,160,4.0
2,127,3.0
3,101,4.0
10,138,4.0
20,176,4.0
13,148,4.0
20,154,5.0
7,113,3.0
11,132,1.0
18,193,2.0
4,120,5.0
3,107,4.0
9,160,5.0
4,114,3.0
10,126,4.0
4,112,3.0
16,167,4.0
14,143,5.0
9,122,4.0
7,102,4.0
12,138,3.0
18,168,5.0
11,142,3.0
9,123,5.0
11,148,3.0
15,172,3.0
18,181,4.0
5,134,5.0
12,150,5.0
7,111,4.0
7,128,5.0
1,118,4.0
15,184,5.0
13,147,5.0
6,135,4.0
2,106,5.0
14,153,4.0
12,141,5.0
6,106,4.0
19,149,4.0
9,129,4.0
19,194,4.0
6,127,5.0
9,131,5.0
1,128,5.0
2,132,4.0
20,141,4.0
3,114,5.0
20,181,4.0
16,186,4.0
10,129,4.0
17,149,4.0
12,126,3.0
10,137,5.0
17,173,5.0
5,127,5.0
11,124,2.0
19,179,5.0
8,158,2.0
10,130,5.0
5,130,5.0
15,141,4.0
5,108,4.0
15,157,3.0
11,151,5.0
17,190,3.0
8,157,3.0
19,168,3.0
1,125,4.0
1,106,5.0
12,130,5.0
8,153,3.0
3,108,5.0
9,142,4.0
15,168,3.0
1,117,5.0
1,121,5.0
14,129,5.0
3,113,4.0
10,142,5.0
16,185,3.0
8,144,4.0
7,122,5.0
10,125,3.0
11,160,3.0
2,112,5.0
8,142,3.0
15,173,5.0
19,156,4.0
4,132,4.0
3,103,3.0
16,150,2.0
15,163,4.0
5,118,3.0
12,160,5.0
19,144,4.0
14,160,4.0
14,130,4.0
5,128,4.0
3,112,5.0
18,149,5.0
7,118,4.0
6,118,5.0
1,105,4.0
13,157,4.0
9,146,4.0
15,194,4.0
7,114,4.0
17,147,5.0
17,152,5.0
11,159,4.0
18,147,5.0
15,142,3.0
7,120,5.0
5,113,4.0
12,155,3.0
20,186,3.0
9,150,4.0
18,179,4.0
9,136,4.0
18,141,4.0
5,135,3.0
12,122,3.0
5,101,4.0
8,124,4.0
16,147,4.0
19,176,3.0
10,123,3.0
18,186,4.0
13,130,3.0
18,180,5.0
17,18,3.0
